iteration,player,time,idle,letterRequest,letterReply,wordFormed,letterReplyReceived,letterRequestReceived,expAction,expPayload,expPlayerId,null_word,opt_rank,exp_rank,null_rank,opt_replies,exp_replies,null_replies,ld_opt_word,ld_exp_word,ld_null_word
16,3,3,0,,,,,,,,,,,,,,,,,,
16,4,3,0,,,,,,,,,,,,,,,,,,
16,5,3,0,,,,,,,,,,,,,,,,,,
16,0,4,0,,,,,,,,,,,,,,,,,,
16,1,4,0,,,,,,,,,,,,,,,,,,
16,2,4,0,,,,,,,,,,,,,,,,,,
16,3,4,0,,,,,,,,,,,,,,,,,,
16,4,4,0,,,,,,,,,,,,,,,,,,
16,5,4,0,,,,,,,,,,,,,,,,,,
16,0,5,0,,,,,,,,,,,,,,,,,,
16,1,5,0,,,,,,,,,,,,,,,,,,
16,2,5,0,,,,,,,,,,,,,,,,,,
16,3,5,0,,,,,,,,,,,,,,,,,,
16,4,5,0,,,,,,,,,,,,,,,,,,
16,5,5,0,,,,,,,,,,,,,,,,,,
16,0,6,0,,,,,,,,,,,,,,,,,,
16,1,6,0,,,,,,,,,,,,,,,,,,
16,2,6,0,,,,,,,,,,,,,,,,,,
16,3,6,0,,,,,,,,,,,,,,,,,,
16,4,6,0,,,,,,,,,,,,,,,,,,
16,5,6,0,,,,,,,,,,,,,,,,,,
16,0,7,0,,,,,,,,,,,,,,,,,,
16,1,7,0,,,,,,,,,,,,,,,,,,
16,2,7,0,,,,,,,,,,,,,,,,,,
16,3,7,0,,,,,,,,,,,,,,,,,,
16,4,7,0,,,,,,,,,,,,,,,,,,
16,5,7,0,,,,,,,,,,,,,,,,,,
16,0,8,0,,,,,,,,,,,,,,,,,,
16,1,8,0,,,,,,,,,,,,,,,,,,
16,2,8,0,,,,,,,,,,,,,,,,,,
16,3,8,0,,,,,,,,,,,,,,,,,,
16,4,8,0,,,,,,,,,,,,,,,,,,
16,5,8,0,,,,,,,,,,,,,,,,,,
16,0,9,0,,,,,,,,,,,,,,,,,,
16,1,9,0,,,,,,,,,,,,,,,,,,
16,2,9,0,,,,,,,,,,,,,,,,,,
16,3,9,0,,,,,,,,,,,,,,,,,,
16,4,9,0,,,,,,,,,,,,,,,,,,
16,5,9,0,,,,,,,,,,,,,,,,,,
16,0,10,0,,,,,,,,,,,,,,,,,,
16,1,10,0,,,,,,,,,,,,,,,,,,
16,2,10,0,,,,,,,,,,,,,,,,,,
16,3,10,0,,,,,,,,,,,,,,,,,,
16,4,10,0,,,,,,,,,,,,,,,,,,
16,5,10,0,,,,,,,,,,,,,,,,,,
16,0,11,0,,,,,,,,,,,,,,,,,,
16,1,11,0,,,,,,,,,,,,,,,,,,
16,2,11,0,,,,,,,,,,,,,,,,,,
16,3,11,0,,,,,,,,,,,,,,,,,,
16,4,11,0,,,,,,,,,,,,,,,,,,
16,5,11,0,,,,,,,,,,,,,,,,,,
16,0,12,0,,,,,,,,,,,,,,,,,,
16,1,12,0,,,,,,,,,,,,,,,,,,
16,2,12,0,,,,,,,,,,,,,,,,,,
16,3,12,0,,,,,,,,,,,,,,,,,,
16,4,12,0,,,,,,,,,,,,,,,,,,
16,5,12,0,,,,,,,,,,,,,,,,,,
16,0,13,0,,,,,,,,,,,,,,,,,,
16,1,13,,,,cue,,,3,cue,,cue,,,,,,,,,
16,2,13,0,,,,,,,,,,,,,,,,,,
16,3,13,0,,,,,,,,,,,,,,,,,,
16,4,13,0,,,,,,,,,,,,,,,,,,
16,5,13,0,,,,,,,,,,,,,,,,,,
16,0,14,0,,,,,,,,,,,,,,,,,,
16,1,14,0,,,,,,,,,,,,,,,,,,
16,2,14,0,,,,,,,,,,,,,,,,,,
16,3,14,0,,,,,,,,,,,,,,,,,,
16,4,14,0,,,,,,,,,,,,,,,,,,
16,5,14,0,,,,,,,,,,,,,,,,,,
16,0,15,0,,,,,,,,,,,,,,,,,,
16,1,15,0,,,,,,,,,,,,,,,,,,
16,2,15,0,,,,,,,,,,,,,,,,,,
16,3,15,0,,,,,,,,,,,,,,,,,,
16,4,15,0,,,,,,,,,,,,,,,,,,
16,5,15,0,,,,,,,,,,,,,,,,,,
16,0,16,0,,,,,,,,,,,,,,,,,,
16,1,16,0,,,,,,,,,,,,,,,,,,
16,2,16,0,,,,,,,,,,,,,,,,,,
16,3,16,0,,,,,,,,,,,,,,,,,,
16,4,16,0,,,,,,,,,,,,,,,,,,
16,5,16,0,,,,,,,,,,,,,,,,,,
16,0,17,0,,,,,,,,,,,,,,,,,,
16,1,17,0,,,,,,,,,,,,,,,,,,
16,2,17,0,,,,,,,,,,,,,,,,,,
16,3,17,0,,,,,,,,,,,,,,,,,,
16,4,17,0,,,,,,,,,,,,,,,,,,
16,5,17,0,,,,,,,,,,,,,,,,,,
16,0,18,0,,,,,,,,,,,,,,,,,,
16,1,18,0,,,,,,,,,,,,,,,,,,
16,2,18,0,,,,,,,,,,,,,,,,,,
16,3,18,0,,,,,,,,,,,,,,,,,,
16,4,18,0,,,,,,,,,,,,,,,,,,
16,5,18,0,,,,,,,,,,,,,,,,,,
16,0,19,0,,,,,,,,,,,,,,,,,,
16,1,19,0,,,,,,,,,,,,,,,,,,
16,2,19,0,,,,,,,,,,,,,,,,,,
16,3,19,0,,,,,,,,,,,,,,,,,,
16,4,19,0,,,,,,,,,,,,,,,,,,
16,5,19,0,,,,,,,,,,,,,,,,,,
16,0,20,0,,,,,,,,,,,,,,,,,,
16,1,20,0,,,,,,,,,,,,,,,,,,
16,2,20,0,,,,,,,,,,,,,,,,,,
16,3,20,0,,,,,,,,,,,,,,,,,,
16,4,20,0,,,,,,,,,,,,,,,,,,
16,5,20,0,,,,,,,,,,,,,,,,,,
16,0,21,0,,,,,,,,,,,,,,,,,,
16,1,21,0,,,,,,,,,,,,,,,,,,
16,2,21,0,,,,,,,,,,,,,,,,,,
16,3,21,0,,,,,,,,,,,,,,,,,,
16,4,21,0,,,,,,,,,,,,,,,,,,
16,5,21,0,,,,,,,,,,,,,,,,,,
16,0,22,0,,,,,,,,,,,,,,,,,,
16,1,22,0,,,,,,,,,,,,,,,,,,
16,2,22,0,,,,,,,,,,,,,,,,,,
16,3,22,0,,,,,,,,,,,,,,,,,,
16,4,22,0,,,,,,,,,,,,,,,,,,
16,5,22,0,,,,,,,,,,,,,,,,,,
16,0,23,0,,,,,,,,,,,,,,,,,,
16,1,23,0,,,,,,,,,,,,,,,,,,
16,2,23,0,,,,,,,,,,,,,,,,,,
16,3,23,0,,,,,,,,,,,,,,,,,,
16,4,23,0,,,,,,,,,,,,,,,,,,
16,5,23,,,,add,,,3,rad,,radar,,,,,,,,,
16,0,24,0,,,,,s,,,,,,,,,,,,,
16,1,24,,s,,,,,2,s,0,,3,1,6,,,,,,
16,2,24,0,,,,,,,,,,,,,,,,,,
16,3,24,0,,,,,,,,,,,,,,,,,,
16,4,24,0,,,,,,,,,,,,,,,,,,
16,5,24,0,,,,,,,,,,,,,,,,,,
16,0,25,0,,,,,,,,,,,,,,,,,,
16,1,25,0,,,,,,,,,,,,,,,,,,
16,2,25,0,,,,,,,,,,,,,,,,,,
16,3,25,0,,,,,,,,,,,,,,,,,,
16,4,25,0,,,,,,,,,,,,,,,,,,
16,5,25,0,,,,,,,,,,,,,,,,,,
16,0,26,0,,,,,,,,,,,,,,,,,,
16,1,26,0,,,,,,,,,,,,,,,,,,
16,2,26,0,,,,,,,,,,,,,,,,,,
16,3,26,0,,,,,,,,,,,,,,,,,,
16,4,26,0,,,,,,,,,,,,,,,,,,
16,5,26,0,,,,,,,,,,,,,,,,,,
16,0,27,0,,,,,,,,,,,,,,,,,,
16,1,27,0,,,,,,,,,,,,,,,,,,
16,2,27,0,,,,,,,,,,,,,,,,,,
16,3,27,0,,,,,,,,,,,,,,,,,,
16,4,27,0,,,,,,,,,,,,,,,,,,
16,5,27,0,,,,,,,,,,,,,,,,,,
16,0,28,0,,,,,,,,,,,,,,,,,,
16,1,28,0,,,,,,,,,,,,,,,,,,
16,2,28,0,,,,,,,,,,,,,,,,,,
16,3,28,0,,,,,,,,,,,,,,,,,,
16,4,28,0,,,,,,,,,,,,,,,,,,
16,5,28,0,,,,,,,,,,,,,,,,,,
16,0,29,0,,,,,,,,,,,,,,,,,,
16,1,29,0,,,,,,,,,,,,,,,,,,
16,2,29,0,,,,,,,,,,,,,,,,,,
16,3,29,0,,,,,,,,,,,,,,,,,,
16,4,29,0,,,,,,,,,,,,,,,,,,
16,5,29,0,,,,,,,,,,,,,,,,,,
16,0,30,0,,,,,,,,,,,,,,,,,,
16,1,30,0,,,,,,,,,,,,,,,,,,
16,2,30,0,,,,,,,,,,,,,,,,,,
16,3,30,0,,,,,,,,,,,,,,,,,,
16,4,30,0,,,,,,,,,,,,,,,,,,
16,5,30,0,,,,,,,,,,,,,,,,,,
16,0,31,0,,,,,w,,,,,,,,,,,,,
16,1,31,0,,,,,,,,,,,,,,,,,,
16,2,31,0,,,,,,,,,,,,,,,,,,
16,3,31,0,,,,,,,,,,,,,,,,,,
16,4,31,0,,,,,,,,,,,,,,,,,,
16,5,31,,w,,,,,2,w,0,,1,1,5,,,,,,
16,0,32,0,,,,,,,,,,,,,,,,,,
16,1,32,0,,,,,,,,,,,,,,,,,,
16,2,32,0,,,,,,,,,,,,,,,,,,
16,3,32,0,,,,,,,,,,,,,,,,,,
16,4,32,0,,,,,,,,,,,,,,,,,,
16,5,32,0,,,,,,,,,,,,,,,,,,
16,0,33,0,,,,,,,,,,,,,,,,,,
16,1,33,0,,,,,,,,,,,,,,,,,,
16,2,33,0,,,,,,,,,,,,,,,,,,
16,3,33,0,,,,,,,,,,,,,,,,,,
16,4,33,0,,,,,,,,,,,,,,,,,,
16,5,33,0,,,,,,,,,,,,,,,,,,
16,0,34,0,,,,,,,,,,,,,,,,,,
16,1,34,0,,,,,,,,,,,,,,,,,,
16,2,34,0,,,,,,,,,,,,,,,,,,
16,3,34,0,,,,,,,,,,,,,,,,,,
16,4,34,0,,,,,,,,,,,,,,,,,,
16,5,34,0,,,,,,,,,,,,,,,,,,
16,0,35,0,,,,,,,,,,,,,,,,,,
16,1,35,0,,,,,,,,,,,,,,,,,,
16,2,35,,l,,,,,2,l,3,,3,1,4,,,,,,
16,3,35,0,,,,,l,,,,,,,,,,,,,
16,4,35,0,,,,,,,,,,,,,,,,,,
16,5,35,0,,,,,,,,,,,,,,,,,,
16,0,36,0,,,,,,,,,,,,,,,,,,
16,1,36,0,,,,,,,,,,,,,,,,,,
16,2,36,0,,,,,,,,,,,,,,,,,,
16,3,36,0,,,,,,,,,,,,,,,,,,
16,4,36,0,,,,,,,,,,,,,,,,,,
16,5,36,0,,,,,,,,,,,,,,,,,,
16,0,37,0,,,,,,,,,,,,,,,,,,
16,1,37,0,,,,,,,,,,,,,,,,,,
16,2,37,0,,,,,,,,,,,,,,,,,,
16,3,37,0,,,,,,,,,,,,,,,,,,
16,4,37,0,,,,,,,,,,,,,,,,,,
16,5,37,0,,,,,,,,,,,,,,,,,,
16,0,38,0,,,,,,,,,,,,,,,,,,
16,1,38,0,,,,,,,,,,,,,,,,,,
16,2,38,0,,,,,,2,e,1,,,,,,,,,,
16,3,38,0,,,,,,,,,,,,,,,,,,
16,4,38,0,,,,,,,,,,,,,,,,,,
16,5,38,0,,,,,,,,,,,,,,,,,,
16,0,39,0,,,,,,,,,,,,,,,,,,
16,1,39,0,,,,,,,,,,,,,,,,,,
16,2,39,0,,,,,,,,,,,,,,,,,,
16,3,39,0,,,,,,,,,,,,,,,,,,
16,4,39,0,,,,,,,,,,,,,,,,,,
16,5,39,0,,,,,,,,,,,,,,,,,,
16,0,40,0,,,,,,,,,,,,,,,,,,
16,1,40,0,,,,,,,,,,,,,,,,,,
16,2,40,0,,,,,,,,,,,,,,,,,,
16,3,40,0,,,,,,,,,,,,,,,,,,
16,4,40,0,,,,,,,,,,,,,,,,,,
16,5,40,0,,,,,,,,,,,,,,,,,,
16,0,41,0,,,,,,,,,,,,,,,,,,
16,1,41,0,,,,,,,,,,,,,,,,,,
16,2,41,0,,,,,,,,,,,,,,,,,,
16,3,41,0,,,,,,,,,,,,,,,,,,
16,4,41,0,,,,,,,,,,,,,,,,,,
16,5,41,0,,,,,,,,,,,,,,,,,,
16,0,42,0,,,,,,,,,,,,,,,,,,
16,1,42,0,,,,,,,,,,,,,,,,,,
16,2,42,0,,,,,,,,,,,,,,,,,,
16,3,42,0,,,,,,,,,,,,,,,,,,
16,4,42,0,,,,,,,,,,,,,,,,,,
16,5,42,0,,,,,,,,,,,,,,,,,,
16,0,43,0,,,,,,,,,,,,,,,,,,
16,1,43,0,,,,,,,,,,,,,,,,,,
16,2,43,0,,,,,,,,,,,,,,,,,,
16,3,43,0,,,,,,,,,,,,,,,,,,
16,4,43,0,,,,,,,,,,,,,,,,,,
16,5,43,0,,,,,,,,,,,,,,,,,,
16,0,44,0,,,,,,,,,,,,,,,,,,
16,1,44,0,,,,,,,,,,,,,,,,,,
16,2,44,0,,,,,,,,,,,,,,,,,,
16,3,44,0,,,,,,,,,,,,,,,,,,
16,4,44,0,,,,,,,,,,,,,,,,,,
16,5,44,0,,,,,,,,,,,,,,,,,,
16,0,45,0,,,,,,,,,,,,,,,,,,
16,1,45,0,,,,,,,,,,,,,,,,,,
16,2,45,0,,,,,,,,,,,,,,,,,,
16,3,45,0,,,,,,,,,,,,,,,,,,
16,4,45,0,,,,,,,,,,,,,,,,,,
16,5,45,0,,,,,,,,,,,,,,,,,,
16,0,46,0,,,,,,,,,,,,,,,,,,
16,1,46,0,,,,,,,,,,,,,,,,,,
16,2,46,0,,,,,,,,,,,,,,,,,,
16,3,46,0,,,,,,,,,,,,,,,,,,
16,4,46,0,,,,,,,,,,,,,,,,,,
16,5,46,0,,,,,,,,,,,,,,,,,,
16,0,47,0,,,,,,,,,,,,,,,,,,
16,1,47,0,,,,,,,,,,,,,,,,,,
16,2,47,0,,,,,,,,,,,,,,,,,,
16,3,47,0,,,,,,,,,,,,,,,,,,
16,4,47,0,,,,,,,,,,,,,,,,,,
16,5,47,0,,,,,,,,,,,,,,,,,,
16,0,48,0,,,,,,,,,,,,,,,,,,
16,1,48,0,,,,,,,,,,,,,,,,,,
16,2,48,0,,,,,,,,,,,,,,,,,,
16,3,48,0,,,,,,,,,,,,,,,,,,
16,4,48,0,,,,,,,,,,,,,,,,,,
16,5,48,0,,,,,,,,,,,,,,,,,,
16,0,49,0,,,,,,,,,,,,,,,,,,
16,1,49,0,,,,,,,,,,,,,,,,,,
16,2,49,0,,,,,,,,,,,,,,,,,,
16,3,49,0,,,,,,,,,,,,,,,,,,
16,4,49,0,,,,,,,,,,,,,,,,,,
16,5,49,0,,,,,,,,,,,,,,,,,,
16,0,50,0,,,,,,,,,,,,,,,,,,
16,1,50,0,,,,,,,,,,,,,,,,,,
16,2,50,0,,,,,,,,,,,,,,,,,,
16,3,50,0,,,,,,,,,,,,,,,,,,
16,4,50,,a,,,,,2,a,5,,1,1,5,,,,,,
16,5,50,0,,,,,a,,,,,,,,,,,,,
16,0,51,0,,,,,,,,,,,,,,,,,,
16,1,51,0,,,,,,,,,,,,,,,,,,
16,2,51,0,,,,,,,,,,,,,,,,,,
16,3,51,0,,,,,,,,,,,,,,,,,,
16,4,51,0,,,,,,,,,,,,,,,,,,
16,5,51,0,,,,,,,,,,,,,,,,,,
16,0,52,0,,,,,,,,,,,,,,,,,,
16,1,52,0,,,,,,,,,,,,,,,,,,
16,2,52,0,,,,,,,,,,,,,,,,,,
16,3,52,0,,,,,,,,,,,,,,,,,,
16,4,52,0,,,,,,,,,,,,,,,,,,
16,5,52,0,,,,,,,,,,,,,,,,,,
16,0,53,0,,,,,,,,,,,,,,,,,,
16,1,53,0,,,,,,,,,,,,,,,,,,
16,2,53,0,,,,,,,,,,,,,,,,,,
16,3,53,0,,,,,,,,,,,,,,,,,,
16,4,53,0,,,,,,,,,,,,,,,,,,
16,5,53,0,,,,,,,,,,,,,,,,,,
16,0,54,0,,,,,,,,,,,,,,,,,,
16,1,54,0,,,,,,,,,,,,,,,,,,
16,2,54,0,,,,,,,,,,,,,,,,,,
16,3,54,0,,,,,,,,,,,,,,,,,,
16,4,54,,r,,,,h,2,r,5,,1,3,4,,,,,,
16,5,54,,h,,,,r,2,h,4,,1,3,4,,,,,,
16,0,55,0,,,,,,,,,,,,,,,,,,
16,1,55,0,,,,,,,,,,,,,,,,,,
16,2,55,0,,,,,,,,,,,,,,,,,,
16,3,55,0,,,,,,,,,,,,,,,,,,
16,4,55,0,,,,,,,,,,,,,,,,,,
16,5,55,0,,,,,,,,,,,,,,,,,,
16,0,56,0,,,,,,,,,,,,,,,,,,
16,1,56,0,,,,,,,,,,,,,,,,,,
16,2,56,0,,,,,,,,,,,,,,,,,,
16,3,56,0,,,,,,,,,,,,,,,,,,
16,4,56,0,,,,,,,,,,,,,,,,,,
16,5,56,0,,,,,,,,,,,,,,,,,,
16,0,57,0,,,,,,,,,,,,,,,,,,
16,1,57,0,,,,,,,,,,,,,,,,,,
16,2,57,0,,,,,,,,,,,,,,,,,,
16,3,57,0,,,,,,,,,,,,,,,,,,
16,4,57,0,,,,,,,,,,,,,,,,,,
16,5,57,0,,,,,,,,,,,,,,,,,,
16,0,58,0,,,,,,,,,,,,,,,,,,
16,1,58,0,,,,,,,,,,,,,,,,,,
16,2,58,0,,,,,,,,,,,,,,,,,,
16,3,58,0,,,,,,,,,,,,,,,,,,
16,4,58,0,,,,,,,,,,,,,,,,,,
16,5,58,0,,,,,,,,,,,,,,,,,,
16,0,59,0,,,,,,,,,,,,,,,,,,
16,1,59,0,,,,,,,,,,,,,,,,,,
16,2,59,0,,,,,,,,,,,,,,,,,,
16,3,59,0,,,,,,,,,,,,,,,,,,
16,4,59,0,,,,r,,,,,,,,,,,,,,
16,5,59,,,r,,,,,,,,,,,2,2,2,,,
16,0,60,0,,,,,,,,,,,,,,,,,,
16,1,60,0,,,,,,,,,,,,,,,,,,
16,2,60,0,,,,,,,,,,,,,,,,,,
16,3,60,0,,,,,,,,,,,,,,,,,,
16,4,60,0,,,,,,,,,,,,,,,,,,
16,5,60,0,,,,,,,,,,,,,,,,,,
16,0,61,0,,,,,,,,,,,,,,,,,,
16,1,61,0,,,,,,2,i,2,,,,,,,,,,
16,2,61,0,,,,,,,,,,,,,,,,,,
16,3,61,0,,,,,,,,,,,,,,,,,,
16,4,61,0,,,,,,,,,,,,,,,,,,
16,5,61,0,,,,,,,,,,,,,,,,,,
16,0,62,0,,,,,,,,,,,,,,,,,,
16,1,62,0,,,,,,,,,,,,,,,,,,
16,2,62,0,,,,,,,,,,,,,,,,,,
16,3,62,0,,,,,,,,,,,,,,,,,,
16,4,62,0,,,,,,,,,,,,,,,,,,
16,5,62,0,,,,,,,,,,,,,,,,,,
16,0,63,0,,,,,,,,,,,,,,,,,,
16,1,63,0,,,,,,,,,,,,,,,,,,
16,2,63,0,,,,,,,,,,,,,,,,,,
16,3,63,0,,,,,,,,,,,,,,,,,,
16,4,63,,,,car,,,3,car,,cab,,,,,,,,,
16,5,63,0,,,,,,,,,,,,,,,,,,
16,0,64,0,,,,,,,,,,,,,,,,,,
16,1,64,0,,,,,,,,,,,,,,,,,,
16,2,64,0,,,,,,,,,,,,,,,,,,
16,3,64,0,,,,,,,,,,,,,,,,,,
16,4,64,0,,,,,,,,,,,,,,,,,,
16,5,64,0,,,,,,,,,,,,,,,,,,
16,0,65,0,,,,,,,,,,,,,,,,,,
16,1,65,0,,,,,,,,,,,,,,,,,,
16,2,65,0,,,,,,,,,,,,,,,,,,
16,3,65,0,,,,,,,,,,,,,,,,,,
16,4,65,0,,,,,,,,,,,,,,,,,,
16,5,65,0,,,,,,,,,,,,,,,,,,
16,0,66,0,,,,,,,,,,,,,,,,,,
16,1,66,0,,,,,,,,,,,,,,,,,,
16,2,66,0,,,,,,,,,,,,,,,,,,
16,3,66,0,,,,,,,,,,,,,,,,,,
16,4,66,0,,,,,,,,,,,,,,,,,,
16,5,66,0,,,,,,,,,,,,,,,,,,
16,0,67,0,,,,,,,,,,,,,,,,,,
16,1,67,0,,,,,,,,,,,,,,,,,,
16,2,67,0,,,,,,,,,,,,,,,,,,
16,3,67,0,,,,,,,,,,,,,,,,,,
16,4,67,0,,,,,,,,,,,,,,,,,,
16,5,67,0,,,,,,,,,,,,,,,,,,
16,0,68,0,,,,,,,,,,,,,,,,,,
16,1,68,0,,,,,,,,,,,,,,,,,,
16,2,68,0,,,,,,,,,,,,,,,,,,
16,3,68,0,,,,,,,,,,,,,,,,,,
16,4,68,0,,,,,,,,,,,,,,,,,,
16,5,68,0,,,,,,,,,,,,,,,,,,
16,0,69,0,,,,,,,,,,,,,,,,,,
16,1,69,0,,,,,,,,,,,,,,,,,,
16,2,69,0,,,,,,,,,,,,,,,,,,
16,3,69,0,,,,,,,,,,,,,,,,,,
16,4,69,0,,,,,,,,,,,,,,,,,,
16,5,69,0,,,,,,,,,,,,,,,,,,
16,0,70,0,,,,,,,,,,,,,,,,,,
16,1,70,0,,,,,,,,,,,,,,,,,,
16,2,70,0,,,,,,,,,,,,,,,,,,
16,3,70,0,,,,,,,,,,,,,,,,,,
16,4,70,0,,,,,,,,,,,,,,,,,,
16,5,70,0,,,,,,,,,,,,,,,,,,
16,0,71,0,,,,,,,,,,,,,,,,,,
16,1,71,0,,,,,,,,,,,,,,,,,,
16,2,71,0,,,,,,,,,,,,,,,,,,
16,3,71,0,,,,,,,,,,,,,,,,,,
16,4,71,0,,,,,,,,,,,,,,,,,,
16,5,71,0,,,,,,,,,,,,,,,,,,
16,0,72,0,,,,,,,,,,,,,,,,,,
16,1,72,0,,,,,,,,,,,,,,,,,,
16,2,72,0,,,,,,,,,,,,,,,,,,
16,3,72,0,,,,,,,,,,,,,,,,,,
16,4,72,,,,bar,,,3,bar,,arab,,,,,,,1,1,3
16,5,72,0,,,,,,,,,,,,,,,,,,
16,0,73,0,,,,,,,,,,,,,,,,,,
16,1,73,0,,,,,,,,,,,,,,,,,,
16,2,73,0,,,,,,,,,,,,,,,,,,
16,3,73,0,,,,,,,,,,,,,,,,,,
16,4,73,0,,,,,c,,,,,,,,,,,,,
16,5,73,,c,,,,,2,c,4,,1,2,2,,,,,,
16,0,74,0,,,,,,,,,,,,,,,,,,
16,1,74,0,,,,,,,,,,,,,,,,,,
16,2,74,0,,,,,,,,,,,,,,,,,,
16,3,74,0,,,,,,3,clu,,,,,,,,,,,
16,4,74,,,c,,,,,,,,,,,2,2,2,,,
16,5,74,0,,,,c,,,,,,,,,,,,,,
16,0,75,0,,,,,,,,,,,,,,,,,,
16,1,75,0,,,,,,,,,,,,,,,,,,
16,2,75,0,,,,,,,,,,,,,,,,,,
16,3,75,0,,,,,,,,,,,,,,,,,,
16,4,75,0,,,,,,,,,,,,,,,,,,
16,5,75,0,,,,,,,,,,,,,,,,,,
16,0,76,0,,,,,,,,,,,,,,,,,,
16,1,76,0,,,,,,,,,,,,,,,,,,
16,2,76,0,,,,,,,,,,,,,,,,,,
16,3,76,0,,,,,,,,,,,,,,,,,,
16,4,76,0,,,,,,,,,,,,,,,,,,
16,5,76,0,,,,,,,,,,,,,,,,,,
16,0,77,0,,,,,,,,,,,,,,,,,,
16,1,77,0,,,,,,,,,,,,,,,,,,
16,2,77,0,,,,,,,,,,,,,,,,,,
16,3,77,0,,,,,,,,,,,,,,,,,,
16,4,77,0,,,,,,,,,,,,,,,,,,
16,5,77,0,,,,,,,,,,,,,,,,,,
16,0,78,0,,,,,,,,,,,,,,,,,,
16,1,78,0,,,,,,,,,,,,,,,,,,
16,2,78,0,,,,,,,,,,,,,,,,,,
16,3,78,0,,,,,,,,,,,,,,,,,,
16,4,78,0,,,,,,,,,,,,,,,,,,
16,5,78,0,,,,,,,,,,,,,,,,,,
16,0,79,0,,,,,,,,,,,,,,,,,,
16,1,79,0,,,,,,,,,,,,,,,,,,
16,2,79,0,,,,,,2,c,3,,,,,,,,,,
16,3,79,0,,,,,,,,,,,,,,,,,,
16,4,79,0,,,,,,,,,,,,,,,,,,
16,5,79,0,,,,,,,,,,,,,,,,,,
16,0,80,0,,,,,,,,,,,,,,,,,,
16,1,80,0,,,,,,,,,,,,,,,,,,
16,2,80,0,,,,,,,,,,,,,,,,,,
16,3,80,0,,,,,,,,,,,,,,,,,,
16,4,80,0,,,,,,,,,,,,,,,,,,
16,5,80,0,,,,,,,,,,,,,,,,,,
16,0,81,0,,,,,,,,,,,,,,,,,,
16,1,81,0,,,,,,,,,,,,,,,,,,
16,2,81,0,,,,,,,,,,,,,,,,,,
16,3,81,0,,,,,,,,,,,,,,,,,,
16,4,81,0,,,,,,,,,,,,,,,,,,
16,5,81,0,,,,,,,,,,,,,,,,,,
16,0,82,0,,,,,,,,,,,,,,,,,,
16,1,82,0,,,,,,,,,,,,,,,,,,
16,2,82,0,,,,,,,,,,,,,,,,,,
16,3,82,0,,,,,,,,,,,,,,,,,,
16,4,82,0,,,,,,,,,,,,,,,,,,
16,5,82,0,,,,,,,,,,,,,,,,,,
16,0,83,0,,,,,,,,,,,,,,,,,,
16,1,83,0,,,,,,,,,,,,,,,,,,
16,2,83,0,,,,,,2,u,1,,,,,,,,,,
16,3,83,0,,,,,,,,,,,,,,,,,,
16,4,83,0,,,,,,,,,,,,,,,,,,
16,5,83,0,,,,,,,,,,,,,,,,,,
16,0,84,0,,,,,,,,,,,,,,,,,,
16,1,84,0,,,,,,,,,,,,,,,,,,
16,2,84,0,,,,,,,,,,,,,,,,,,
16,3,84,0,,,,,,,,,,,,,,,,,,
16,4,84,0,,,,,,,,,,,,,,,,,,
16,5,84,,,,car,,,3,hard,,hard,,,,,,,2,2,2
16,0,85,0,,,,,,,,,,,,,,,,,,
16,1,85,0,,,,,,,,,,,,,,,,,,
16,2,85,0,,,,,,,,,,,,,,,,,,
16,3,85,0,,,,,,,,,,,,,,,,,,
16,4,85,0,,,,,,,,,,,,,,,,,,
16,5,85,0,,,,,,,,,,,,,,,,,,
16,0,86,0,,,,,,,,,,,,,,,,,,
16,1,86,0,,,,,,,,,,,,,,,,,,
16,2,86,0,,,,,,,,,,,,,,,,,,
16,3,86,0,,,,,,3,luc,,,,,,,,,,,
16,4,86,0,,,,,,,,,,,,,,,,,,
16,5,86,0,,,,,,,,,,,,,,,,,,
16,0,87,0,,,,,,,,,,,,,,,,,,
16,1,87,0,,,,,,,,,,,,,,,,,,
16,2,87,0,,,,,,,,,,,,,,,,,,
16,3,87,0,,,,,,,,,,,,,,,,,,
16,4,87,0,,,,,,,,,,,,,,,,,,
16,5,87,0,,,,,,,,,,,,,,,,,,
16,0,88,,r,,,,,2,r,5,,4,4,1,,,,,,
16,1,88,0,,,,,,2,o,2,,,,,,,,,,
16,2,88,0,,,,,,,,,,,,,,,,,,
16,3,88,0,,,,,,,,,,,,,,,,,,
16,4,88,0,,,,,,,,,,,,,,,,,,
16,5,88,0,,,,,r,,,,,,,,,,,,,
16,0,89,0,,,,,,,,,,,,,,,,,,
16,1,89,0,,,,,,,,,,,,,,,,,,
16,2,89,0,,,,,,,,,,,,,,,,,,
16,3,89,0,,,,,,,,,,,,,,,,,,
16,4,89,0,,,,,,,,,,,,,,,,,,
16,5,89,0,,,,,,,,,,,,,,,,,,
16,0,90,0,,,,,,,,,,,,,,,,,,
16,1,90,0,,,,,,,,,,,,,,,,,,
16,2,90,0,,,,,,,,,,,,,,,,,,
16,3,90,0,,,,,,,,,,,,,,,,,,
16,4,90,0,,,,,,,,,,,,,,,,,,
16,5,90,0,,,,,,,,,,,,,,,,,,
16,0,91,0,,,,,,,,,,,,,,,,,,
16,1,91,0,,,,,,,,,,,,,,,,,,
16,2,91,0,,,,,,,,,,,,,,,,,,
16,3,91,0,,,,,,,,,,,,,,,,,,
